"Name","Active","CountryCode","IsoCountryCode"
"Tajikistan","True","TJK","762"
"Tanzania, United Republic of","True","TZA","834"
"Thailand","True","THA","764"
"Timor-Leste","True","TLS","626"
"Togo","True","TGO","768"
"Tokelau","True","TKL","772"
"Tonga","True","TON","776"
"Trinidad and Tobago","True","TTO","780"
"Tunisia","True","TUN","788"
"Turkey","True","TUR","792"
"Turkmenistan","True","TKM","795"
"Turks and Caicos Islands","True","TCA","796"
"Tuvalu","True","TUV","798"
"Uganda","True","UGA","800"
"Ukraine","True","UKR","804"
"United Arab Emirates","True","ARE","784"
"United Kingdom of Great Britain and Northern Ireland","True","GBR","826"
"United States of America","True","USA","840"
"United States Minor Outlying Islands","True","UMI","581"
"Uruguay","True","URY","858"
"Uzbekistan","True","UZB","860"
"Vanuatu","True","VUT","548"
"Venezuela (Bolivarian Republic of)","True","VEN","862"
"Viet Nam","True","VNM","704"
"Virgin Islands (British)","True","VGB","092"
"Virgin Islands (U.S.)","True","VIR","850"
"Wallis and Futuna","True","WLF","876"
"Western Sahara","True","ESH","732"
"Yemen","True","YEM","887"
"Zambia","True","ZMB","894"
"Zimbabwe","True","ZWE","716"
