Name,Region,Active
Alberni-Clayoquot,Vancouver Island,TRUE
Bulkley-Nechako,North West,TRUE
Capital,Vancouver Island,TRUE
Cariboo,North East,TRUE
Central Coast,North East,TRUE
Central Kootenay,South East,TRUE
Central Okanagan,Central,TRUE
Columbia Shuswap,Central,TRUE
Comox Valley,Vancouver Island,TRUE
Cowichan Valley,Vancouver Island,TRUE
East Kootenay,South East,TRUE
Fraser Valley,South West,TRUE
Fraser-Fort George,North East,TRUE
Islands Trust,Vancouver Island,TRUE
Kitimat-Stikine,North West,TRUE
Kootenay Boundary,South East,TRUE
Metro Vancouver,,TRUE
Mount Waddington,Vancouver Island,TRUE
Nanaimo,Vancouver Island,TRUE
North Coast,,TRUE
North Okanagan,Central,TRUE
Okanagan-Similkameen,Central,TRUE
Peace River,North East,TRUE
qathet,,TRUE
Squamish-Lillooet,South West,TRUE
Strathcona,Vancouver Island,TRUE
Sunshine Coast,South West,TRUE
Thompson-Nicola,Central,TRUE
