"era_supportid","era_name"
"068b0ed3-bf85-ea11-b818-00505683fbf4","Transportation - Taxi"
"f9e9a9dc-bf85-ea11-b818-00505683fbf4","Transportation - Other"
"531d48e3-bf85-ea11-b818-00505683fbf4","Food - Groceries"
"541d48e3-bf85-ea11-b818-00505683fbf4","Food - Restaurant Meals"
"8c4356e9-bf85-ea11-b818-00505683fbf4","Clothing"
"82368af1-bf85-ea11-b818-00505683fbf4","Incidentals"
"3d983b11-c085-ea11-b818-00505683fbf4","Lodging - Hotel/Motel"
"161ca617-c085-ea11-b818-00505683fbf4","Lodging - Billeting"
"3145c288-559c-ea11-b818-00505683fbf4","Lodging - Group Lodging"
