Name,Active,Region
?Akisq'nuk First Nation,TRUE,South East
?Esdilagh,TRUE,North West
?Esdilagh First Nation Government,TRUE,North East
100 Mile House,TRUE,North East
105 Mile House,TRUE,North East
108 Mile Ranch,TRUE,North East
111 Mile House,TRUE,North East
114 Mile House,TRUE,North East
12 Mile,TRUE,North West
122 Mile House,TRUE,North East
127 Mile House,TRUE,North East
141 Mile House,TRUE,North East
150 Mile House,TRUE,North East
40 Mile Flats,TRUE,North West
70 Mile House,TRUE,Central
93 Mile,TRUE,North East
Abbotsford,TRUE,South West
Aberdeen,TRUE,Central
Aberdeen,TRUE,South West
Adams Lake,TRUE,Central
Adams Lake Indian Band,TRUE,Central
Agassiz,TRUE,South West
Agate,TRUE,Central
Ahbau,TRUE,North East
Ahousaht,TRUE,Vancouver Island
Ainsworth Hot Springs,TRUE,South East
Aitchelitz First Nation,TRUE,South West
Aiyansh,TRUE,North West
Albas,TRUE,Central
Albert Canyon,TRUE,South East
Albion,TRUE,South West
Albreda,TRUE,North East
Alder Creek,TRUE,South West
Aldergrove,TRUE,South West
Alert Bay,TRUE,Vancouver Island
Alexandria,TRUE,North East
Alexis Creek,TRUE,North East
Aleza Lake,TRUE,North East
Alice Arm,TRUE,North West
Alkali Lake,TRUE,North East
Allenby,TRUE,Central
Alliford Bay,TRUE,North West
Allison Lake,TRUE,Central
Alpine Meadows,TRUE,South West
Alta Lake,TRUE,South West
Altamont,TRUE,South West
Altona,TRUE,North East
Alvin,TRUE,South West
Ambleside,TRUE,South West
Anaconda,TRUE,South East
Anahim Lake,TRUE,North East
Andimaul,TRUE,North West
Anglemont,TRUE,Central
Anmore,TRUE,South West
Annacis,TRUE,South West
Anniedale,TRUE,South West
Anvil Island,TRUE,South West
Apex Mountain,TRUE,Central
Appledale,TRUE,South East
Applegrove,TRUE,South East
Arbutus Ridge,TRUE,South West
Argenta,TRUE,South East
Armstrong,TRUE,Central
Arnold,TRUE,South West
Arras,TRUE,North East
Arrow Creek,TRUE,South East
Arrowhead,TRUE,South East
Ashcroft,TRUE,Central
Ashcroft Indian Band,TRUE,Central
Ashton Creek,TRUE,Central
Aspen Grove,TRUE,Central
Atbara,TRUE,South East
Atlin,TRUE,North West
Atluck,TRUE,Vancouver Island
Atnarko,TRUE,North East
Attachie,TRUE,North East
Austin Heights,TRUE,South West
Australian,TRUE,North East
Avola,TRUE,Central
Azouzetta Lake,TRUE,North East
Azu Ski Village,TRUE,North East
Baker Creek,TRUE,North East
Baldonnel,TRUE,North East
Baldy Hughes,TRUE,North East
Baldy Mountain Resort,TRUE,South East
Balfour,TRUE,South East
Balmoral,TRUE,Central
Balmoral Beach,TRUE,Vancouver Island
Bamberton,TRUE,Vancouver Island
Bamfield,TRUE,Vancouver Island
Barkerville,TRUE,North East
Barlow Creek,TRUE,North East
Barnet,TRUE,South West
Barnhartvale,TRUE,Central
Barnston Island,TRUE,South West
Barrett,TRUE,North West
Barrett Lake,TRUE,North West
Barriere,TRUE,Central
Barrowtown,TRUE,South West
Bastion Bay,TRUE,Central
Baynes Lake,TRUE,South East
Beach Grove,TRUE,South West
Beachcomber Bay,TRUE,Central
Bear Creek,TRUE,South West
Bear Flat,TRUE,North East
Bear Lake,TRUE,North East
Bear Lake,TRUE,North West
Beasley,TRUE,South East
Beaton,TRUE,South East
Beatton Ranch,TRUE,North East
Beaver Cove,TRUE,Vancouver Island
Beaver Creek,TRUE,Vancouver Island
Beaver Pass House,TRUE,North East
Beaver Point,TRUE,Vancouver Island
Beaverdell,TRUE,South East
Beaverley,TRUE,North East
Becher House,TRUE,North East
Bedwell Harbour,TRUE,Vancouver Island
Beecher Bay ,TRUE,Vancouver Island
Belcarra,TRUE,South West
Bell II,TRUE,North West
Bella Bella,TRUE,North East
Bella Coola,TRUE,North East
Belvedere,TRUE,South West
Bend,TRUE,North East
Benson Lake,TRUE,Vancouver Island
Beresford,TRUE,Central
Bergs,TRUE,South West
Beryl Prairie,TRUE,North East
Bessborough,TRUE,North East
Bestwick,TRUE,Central
Bevan,TRUE,Vancouver Island
Big Bar Creek,TRUE,Central
Big Bay,TRUE,Vancouver Island
Big Creek,TRUE,North East
Big White,TRUE,South East
Billings Bay,TRUE,South West
Binche Whut'en,TRUE,North West
Birchdale,TRUE,South East
Birchland Manor,TRUE,South West
Birken,TRUE,South West
Black Creek,TRUE,North East
Black Creek,TRUE,Vancouver Island
Blackcomb,TRUE,South West
Blackpool,TRUE,Central
Blackwater,TRUE,North East
Blaeberry,TRUE,South East
Blewett,TRUE,South East
Blind Bay,TRUE,Central
Blind Channel,TRUE,Vancouver Island
Bliss Landing,TRUE,Vancouver Island
Bloedel,TRUE,Vancouver Island
Blubber Bay,TRUE,Vancouver Island
Blucher Hall,TRUE,Central
Blue River,TRUE,Central
Blueberry Creek,TRUE,South East
Blueberry River First Nations,TRUE,North East
Blueridge,TRUE,South West
Boat Basin,TRUE,Vancouver Island
Boat Harbour,TRUE,Vancouver Island
Bob Quinn Lake,TRUE,North West
Bold Point,TRUE,Vancouver Island
Bonaparte,TRUE,Central
Bonnet Hill,TRUE,North East
