"era_jurisdictionid","era_jurisdictionname","era_type","_era_relatedprovincestate_value"
"6e69dfaf-9f97-ea11-b813-005056830319","100 Mile House","100000014","8262519f-0884-ea11-b813-005056830319"
"7069dfaf-9f97-ea11-b813-005056830319","Abbotsford","1","8262519f-0884-ea11-b813-005056830319"
"7269dfaf-9f97-ea11-b813-005056830319","Alert Bay","2","8262519f-0884-ea11-b813-005056830319"
"7469dfaf-9f97-ea11-b813-005056830319","Anmore","2","8262519f-0884-ea11-b813-005056830319"
"7669dfaf-9f97-ea11-b813-005056830319","Armstrong","1","8262519f-0884-ea11-b813-005056830319"
"7869dfaf-9f97-ea11-b813-005056830319","Ashcroft","2","8262519f-0884-ea11-b813-005056830319"
"7a69dfaf-9f97-ea11-b813-005056830319","Barriere","100000014","8262519f-0884-ea11-b813-005056830319"
"7c69dfaf-9f97-ea11-b813-005056830319","Belcarra","2","8262519f-0884-ea11-b813-005056830319"
"7e69dfaf-9f97-ea11-b813-005056830319","Bowen Island","13","8262519f-0884-ea11-b813-005056830319"
"8069dfaf-9f97-ea11-b813-005056830319","Burnaby","1","8262519f-0884-ea11-b813-005056830319"
"8269dfaf-9f97-ea11-b813-005056830319","Burns Lake","2","8262519f-0884-ea11-b813-005056830319"
"8469dfaf-9f97-ea11-b813-005056830319","Cache Creek","2","8262519f-0884-ea11-b813-005056830319"
"8669dfaf-9f97-ea11-b813-005056830319","Campbell River","1","8262519f-0884-ea11-b813-005056830319"
"8869dfaf-9f97-ea11-b813-005056830319","Canal Flats","2","8262519f-0884-ea11-b813-005056830319"
"8a69dfaf-9f97-ea11-b813-005056830319","Castlegar","1","8262519f-0884-ea11-b813-005056830319"
"8c69dfaf-9f97-ea11-b813-005056830319","Central Saanich","100000014","8262519f-0884-ea11-b813-005056830319"
"8e69dfaf-9f97-ea11-b813-005056830319","Chase","2","8262519f-0884-ea11-b813-005056830319"
"9069dfaf-9f97-ea11-b813-005056830319","Chetwynd","100000014","8262519f-0884-ea11-b813-005056830319"
"9269dfaf-9f97-ea11-b813-005056830319","Chilliwack","1","8262519f-0884-ea11-b813-005056830319"
"9469dfaf-9f97-ea11-b813-005056830319","Clearwater","100000014","8262519f-0884-ea11-b813-005056830319"
"9669dfaf-9f97-ea11-b813-005056830319","Clinton","2","8262519f-0884-ea11-b813-005056830319"
"9869dfaf-9f97-ea11-b813-005056830319","Coldstream","100000014","8262519f-0884-ea11-b813-005056830319"
"9a69dfaf-9f97-ea11-b813-005056830319","Colwood","1","8262519f-0884-ea11-b813-005056830319"
"9c69dfaf-9f97-ea11-b813-005056830319","Comox","4","8262519f-0884-ea11-b813-005056830319"
"9e69dfaf-9f97-ea11-b813-005056830319","Coquitlam","1","8262519f-0884-ea11-b813-005056830319"
"a069dfaf-9f97-ea11-b813-005056830319","Courtenay","1","8262519f-0884-ea11-b813-005056830319"
"a269dfaf-9f97-ea11-b813-005056830319","Cranbrook","1","8262519f-0884-ea11-b813-005056830319"
"a469dfaf-9f97-ea11-b813-005056830319","Creston","4","8262519f-0884-ea11-b813-005056830319"
"a669dfaf-9f97-ea11-b813-005056830319","Cumberland","2","8262519f-0884-ea11-b813-005056830319"
"a869dfaf-9f97-ea11-b813-005056830319","Dawson Creek","1","8262519f-0884-ea11-b813-005056830319"
"aa69dfaf-9f97-ea11-b813-005056830319","Delta","1","8262519f-0884-ea11-b813-005056830319"
"ac69dfaf-9f97-ea11-b813-005056830319","Duncan","1","8262519f-0884-ea11-b813-005056830319"
"ae69dfaf-9f97-ea11-b813-005056830319","Elkford","100000014","8262519f-0884-ea11-b813-005056830319"
"b069dfaf-9f97-ea11-b813-005056830319","Enderby","1","8262519f-0884-ea11-b813-005056830319"
"b269dfaf-9f97-ea11-b813-005056830319","Esquimalt","100000014","8262519f-0884-ea11-b813-005056830319"
"b469dfaf-9f97-ea11-b813-005056830319","Fernie","1","8262519f-0884-ea11-b813-005056830319"
"b669dfaf-9f97-ea11-b813-005056830319","Fort St. James","100000014","8262519f-0884-ea11-b813-005056830319"
"b869dfaf-9f97-ea11-b813-005056830319","Fort St. John","1","8262519f-0884-ea11-b813-005056830319"
"ba69dfaf-9f97-ea11-b813-005056830319","Fraser Lake","2","8262519f-0884-ea11-b813-005056830319"
