"era_jurisdictionid","era_jurisdictionname","era_type","_era_relatedprovincestate_value"
"bc69dfaf-9f97-ea11-b813-005056830319","Fruitvale","2","8262519f-0884-ea11-b813-005056830319"
"be69dfaf-9f97-ea11-b813-005056830319","Gibsons","4","8262519f-0884-ea11-b813-005056830319"
"c069dfaf-9f97-ea11-b813-005056830319","Gold River","2","8262519f-0884-ea11-b813-005056830319"
"c269dfaf-9f97-ea11-b813-005056830319","Golden","4","8262519f-0884-ea11-b813-005056830319"
"c469dfaf-9f97-ea11-b813-005056830319","Grand Forks","1","8262519f-0884-ea11-b813-005056830319"
"c669dfaf-9f97-ea11-b813-005056830319","Granisle","2","8262519f-0884-ea11-b813-005056830319"
"c869dfaf-9f97-ea11-b813-005056830319","Greenwood","1","8262519f-0884-ea11-b813-005056830319"
"ca69dfaf-9f97-ea11-b813-005056830319","Harrison Hot Springs","2","8262519f-0884-ea11-b813-005056830319"
"cc69dfaf-9f97-ea11-b813-005056830319","Hazelton","2","8262519f-0884-ea11-b813-005056830319"
"ce69dfaf-9f97-ea11-b813-005056830319","Highlands","100000014","8262519f-0884-ea11-b813-005056830319"
"d069dfaf-9f97-ea11-b813-005056830319","Hope","100000014","8262519f-0884-ea11-b813-005056830319"
"d269dfaf-9f97-ea11-b813-005056830319","Houston","100000014","8262519f-0884-ea11-b813-005056830319"
"d469dfaf-9f97-ea11-b813-005056830319","Hudson's Hope","100000014","8262519f-0884-ea11-b813-005056830319"
"d669dfaf-9f97-ea11-b813-005056830319","Invermere","100000014","8262519f-0884-ea11-b813-005056830319"
"d869dfaf-9f97-ea11-b813-005056830319","Jumbo Glacier","100000000","8262519f-0884-ea11-b813-005056830319"
"da69dfaf-9f97-ea11-b813-005056830319","Kamloops","1","8262519f-0884-ea11-b813-005056830319"
"dc69dfaf-9f97-ea11-b813-005056830319","Kaslo","2","8262519f-0884-ea11-b813-005056830319"
"de69dfaf-9f97-ea11-b813-005056830319","Kelowna","1","8262519f-0884-ea11-b813-005056830319"
"e069dfaf-9f97-ea11-b813-005056830319","Kent","100000014","8262519f-0884-ea11-b813-005056830319"
"e269dfaf-9f97-ea11-b813-005056830319","Keremeos","2","8262519f-0884-ea11-b813-005056830319"
"e469dfaf-9f97-ea11-b813-005056830319","Kimberley","1","8262519f-0884-ea11-b813-005056830319"
"e669dfaf-9f97-ea11-b813-005056830319","Kitimat","100000014","8262519f-0884-ea11-b813-005056830319"
"e869dfaf-9f97-ea11-b813-005056830319","Ladysmith","4","8262519f-0884-ea11-b813-005056830319"
"ea69dfaf-9f97-ea11-b813-005056830319","Lake Country","100000014","8262519f-0884-ea11-b813-005056830319"
"ec69dfaf-9f97-ea11-b813-005056830319","Lake Cowichan","4","8262519f-0884-ea11-b813-005056830319"
"ee69dfaf-9f97-ea11-b813-005056830319","Langford","1","8262519f-0884-ea11-b813-005056830319"
"f069dfaf-9f97-ea11-b813-005056830319","Langley","1","8262519f-0884-ea11-b813-005056830319"
"f269dfaf-9f97-ea11-b813-005056830319","Langley","100000014","8262519f-0884-ea11-b813-005056830319"
"f469dfaf-9f97-ea11-b813-005056830319","Lantzville","100000014","8262519f-0884-ea11-b813-005056830319"
"f669dfaf-9f97-ea11-b813-005056830319","Lillooet","100000014","8262519f-0884-ea11-b813-005056830319"
"f869dfaf-9f97-ea11-b813-005056830319","Lions Bay","2","8262519f-0884-ea11-b813-005056830319"
"fa69dfaf-9f97-ea11-b813-005056830319","Logan Lake","100000014","8262519f-0884-ea11-b813-005056830319"
"fc69dfaf-9f97-ea11-b813-005056830319","Lumby","2","8262519f-0884-ea11-b813-005056830319"
"fe69dfaf-9f97-ea11-b813-005056830319","Lytton","2","8262519f-0884-ea11-b813-005056830319"
"006adfaf-9f97-ea11-b813-005056830319","Mackenzie","100000014","8262519f-0884-ea11-b813-005056830319"
"026adfaf-9f97-ea11-b813-005056830319","Maple Ridge","1","8262519f-0884-ea11-b813-005056830319"
"046adfaf-9f97-ea11-b813-005056830319","Masset","2","8262519f-0884-ea11-b813-005056830319"
"066adfaf-9f97-ea11-b813-005056830319","McBride","2","8262519f-0884-ea11-b813-005056830319"
"086adfaf-9f97-ea11-b813-005056830319","Merritt","1","8262519f-0884-ea11-b813-005056830319"
"0a6adfaf-9f97-ea11-b813-005056830319","Metchosin","100000014","8262519f-0884-ea11-b813-005056830319"
"0c6adfaf-9f97-ea11-b813-005056830319","Midway","2","8262519f-0884-ea11-b813-005056830319"
"0e6adfaf-9f97-ea11-b813-005056830319","Mission","100000014","8262519f-0884-ea11-b813-005056830319"
"106adfaf-9f97-ea11-b813-005056830319","Montrose","2","8262519f-0884-ea11-b813-005056830319"
"126adfaf-9f97-ea11-b813-005056830319","Nakusp","2","8262519f-0884-ea11-b813-005056830319"
"146adfaf-9f97-ea11-b813-005056830319","Nanaimo","1","8262519f-0884-ea11-b813-005056830319"
"166adfaf-9f97-ea11-b813-005056830319","Nelson","1","8262519f-0884-ea11-b813-005056830319"
"186adfaf-9f97-ea11-b813-005056830319","New Denver","2","8262519f-0884-ea11-b813-005056830319"
"1a6adfaf-9f97-ea11-b813-005056830319","New Hazelton","100000014","8262519f-0884-ea11-b813-005056830319"
"1c6adfaf-9f97-ea11-b813-005056830319","New Westminster","1","8262519f-0884-ea11-b813-005056830319"
"1e6adfaf-9f97-ea11-b813-005056830319","North Cowichan","100000014","8262519f-0884-ea11-b813-005056830319"
"206adfaf-9f97-ea11-b813-005056830319","North Saanich","100000014","8262519f-0884-ea11-b813-005056830319"
"226adfaf-9f97-ea11-b813-005056830319","North Vancouver","1","8262519f-0884-ea11-b813-005056830319"
"286adfaf-9f97-ea11-b813-005056830319","Oak Bay","100000014","8262519f-0884-ea11-b813-005056830319"
"2a6adfaf-9f97-ea11-b813-005056830319","Oliver","4","8262519f-0884-ea11-b813-005056830319"
"2c6adfaf-9f97-ea11-b813-005056830319","Osoyoos","4","8262519f-0884-ea11-b813-005056830319"
"2e6adfaf-9f97-ea11-b813-005056830319","Parksville","1","8262519f-0884-ea11-b813-005056830319"
"306adfaf-9f97-ea11-b813-005056830319","Peachland","100000014","8262519f-0884-ea11-b813-005056830319"
"326adfaf-9f97-ea11-b813-005056830319","Pemberton","2","8262519f-0884-ea11-b813-005056830319"
"346adfaf-9f97-ea11-b813-005056830319","Penticton","1","8262519f-0884-ea11-b813-005056830319"
"366adfaf-9f97-ea11-b813-005056830319","Pitt Meadows","1","8262519f-0884-ea11-b813-005056830319"
"386adfaf-9f97-ea11-b813-005056830319","Port Alberni","1","8262519f-0884-ea11-b813-005056830319"
"3a6adfaf-9f97-ea11-b813-005056830319","Port Alice","2","8262519f-0884-ea11-b813-005056830319"
"3c6adfaf-9f97-ea11-b813-005056830319","Port Clements","2","8262519f-0884-ea11-b813-005056830319"
"3e6adfaf-9f97-ea11-b813-005056830319","Port Coquitlam","1","8262519f-0884-ea11-b813-005056830319"
"406adfaf-9f97-ea11-b813-005056830319","Port Edward","100000014","8262519f-0884-ea11-b813-005056830319"
"426adfaf-9f97-ea11-b813-005056830319","Port Hardy","100000014","8262519f-0884-ea11-b813-005056830319"
"446adfaf-9f97-ea11-b813-005056830319","Port McNeill","4","8262519f-0884-ea11-b813-005056830319"
"466adfaf-9f97-ea11-b813-005056830319","Port Moody","1","8262519f-0884-ea11-b813-005056830319"
"486adfaf-9f97-ea11-b813-005056830319","Pouce Coupe","2","8262519f-0884-ea11-b813-005056830319"
"4a6adfaf-9f97-ea11-b813-005056830319","Powell River","1","8262519f-0884-ea11-b813-005056830319"
"4c6adfaf-9f97-ea11-b813-005056830319","Prince George","1","8262519f-0884-ea11-b813-005056830319"
"4e6adfaf-9f97-ea11-b813-005056830319","Prince Rupert","1","8262519f-0884-ea11-b813-005056830319"
"506adfaf-9f97-ea11-b813-005056830319","Princeton","4","8262519f-0884-ea11-b813-005056830319"
"526adfaf-9f97-ea11-b813-005056830319","Qualicum Beach","4","8262519f-0884-ea11-b813-005056830319"
"546adfaf-9f97-ea11-b813-005056830319","Queen Charlotte","2","8262519f-0884-ea11-b813-005056830319"
"566adfaf-9f97-ea11-b813-005056830319","Quesnel","1","8262519f-0884-ea11-b813-005056830319"
"586adfaf-9f97-ea11-b813-005056830319","Radium Hot Springs","2","8262519f-0884-ea11-b813-005056830319"
"5a6adfaf-9f97-ea11-b813-005056830319","Revelstoke","1","8262519f-0884-ea11-b813-005056830319"
"5c6adfaf-9f97-ea11-b813-005056830319","Richmond","1","8262519f-0884-ea11-b813-005056830319"
"5e6adfaf-9f97-ea11-b813-005056830319","Rossland","1","8262519f-0884-ea11-b813-005056830319"
"606adfaf-9f97-ea11-b813-005056830319","Saanich","100000014","8262519f-0884-ea11-b813-005056830319"
"626adfaf-9f97-ea11-b813-005056830319","Salmo","2","8262519f-0884-ea11-b813-005056830319"
"646adfaf-9f97-ea11-b813-005056830319","Salmon Arm","1","8262519f-0884-ea11-b813-005056830319"
"666adfaf-9f97-ea11-b813-005056830319","Sayward","2","8262519f-0884-ea11-b813-005056830319"
"686adfaf-9f97-ea11-b813-005056830319","Sechelt","100000014","8262519f-0884-ea11-b813-005056830319"
"6a6adfaf-9f97-ea11-b813-005056830319","Sechelt Indian Government District","100000015","8262519f-0884-ea11-b813-005056830319"
"6c6adfaf-9f97-ea11-b813-005056830319","Sicamous","100000014","8262519f-0884-ea11-b813-005056830319"
"6e6adfaf-9f97-ea11-b813-005056830319","Sidney","4","8262519f-0884-ea11-b813-005056830319"
"706adfaf-9f97-ea11-b813-005056830319","Silverton","2","8262519f-0884-ea11-b813-005056830319"
"726adfaf-9f97-ea11-b813-005056830319","Slocan","2","8262519f-0884-ea11-b813-005056830319"
"746adfaf-9f97-ea11-b813-005056830319","Smithers","4","8262519f-0884-ea11-b813-005056830319"
"766adfaf-9f97-ea11-b813-005056830319","Sooke","100000014","8262519f-0884-ea11-b813-005056830319"
"786adfaf-9f97-ea11-b813-005056830319","Spallumcheen","100000014","8262519f-0884-ea11-b813-005056830319"
"7a6adfaf-9f97-ea11-b813-005056830319","Sparwood","100000014","8262519f-0884-ea11-b813-005056830319"
"7c6adfaf-9f97-ea11-b813-005056830319","Squamish","100000014","8262519f-0884-ea11-b813-005056830319"
"7e6adfaf-9f97-ea11-b813-005056830319","Stewart","100000014","8262519f-0884-ea11-b813-005056830319"
"806adfaf-9f97-ea11-b813-005056830319","Summerland","100000014","8262519f-0884-ea11-b813-005056830319"
"826adfaf-9f97-ea11-b813-005056830319","Sun Peaks","100000001","8262519f-0884-ea11-b813-005056830319"
"846adfaf-9f97-ea11-b813-005056830319","Surrey","1","8262519f-0884-ea11-b813-005056830319"
"866adfaf-9f97-ea11-b813-005056830319","Tahsis","2","8262519f-0884-ea11-b813-005056830319"
"886adfaf-9f97-ea11-b813-005056830319","Taylor","100000014","8262519f-0884-ea11-b813-005056830319"
"8a6adfaf-9f97-ea11-b813-005056830319","Telkwa","2","8262519f-0884-ea11-b813-005056830319"
"8c6adfaf-9f97-ea11-b813-005056830319","Terrace","1","8262519f-0884-ea11-b813-005056830319"
"8e6adfaf-9f97-ea11-b813-005056830319","Tofino","100000014","8262519f-0884-ea11-b813-005056830319"
"906adfaf-9f97-ea11-b813-005056830319","Trail","1","8262519f-0884-ea11-b813-005056830319"
"926adfaf-9f97-ea11-b813-005056830319","Tumbler Ridge","100000014","8262519f-0884-ea11-b813-005056830319"
"946adfaf-9f97-ea11-b813-005056830319","Ucluelet","100000014","8262519f-0884-ea11-b813-005056830319"
"966adfaf-9f97-ea11-b813-005056830319","Valemount","2","8262519f-0884-ea11-b813-005056830319"
"986adfaf-9f97-ea11-b813-005056830319","Vancouver","1","8262519f-0884-ea11-b813-005056830319"
"9a6adfaf-9f97-ea11-b813-005056830319","Vanderhoof","100000014","8262519f-0884-ea11-b813-005056830319"
"9c6adfaf-9f97-ea11-b813-005056830319","Vernon","1","8262519f-0884-ea11-b813-005056830319"
"9e6adfaf-9f97-ea11-b813-005056830319","Victoria","1","8262519f-0884-ea11-b813-005056830319"
"a06adfaf-9f97-ea11-b813-005056830319","View Royal","4","8262519f-0884-ea11-b813-005056830319"
"a26adfaf-9f97-ea11-b813-005056830319","Warfield","2","8262519f-0884-ea11-b813-005056830319"
"a46adfaf-9f97-ea11-b813-005056830319","Wells","100000014","8262519f-0884-ea11-b813-005056830319"
"a66adfaf-9f97-ea11-b813-005056830319","West Kelowna","1","8262519f-0884-ea11-b813-005056830319"
"a86adfaf-9f97-ea11-b813-005056830319","West Vancouver","100000014","8262519f-0884-ea11-b813-005056830319"
"aa6adfaf-9f97-ea11-b813-005056830319","Whistler","5","8262519f-0884-ea11-b813-005056830319"
"ac6adfaf-9f97-ea11-b813-005056830319","White Rock","1","8262519f-0884-ea11-b813-005056830319"
"ae6adfaf-9f97-ea11-b813-005056830319","Williams Lake","1","8262519f-0884-ea11-b813-005056830319"
"b06adfaf-9f97-ea11-b813-005056830319","Zeballos","2","8262519f-0884-ea11-b813-005056830319"
"1861651a-a097-ea11-b818-00505683fbf4","Northern Rockies","6","8262519f-0884-ea11-b813-005056830319"
