"era_provinceterritoriesid","era_code","era_name","_era_relatedcountry_value"
"099061ab-9497-ea11-b813-005056830319","OR","Oregon","a5fbe6ef-ce96-ea11-b813-005056830319"
"0b9061ab-9497-ea11-b813-005056830319","MD","Maryland","a5fbe6ef-ce96-ea11-b813-005056830319"
"0d9061ab-9497-ea11-b813-005056830319","MA","Massachusetts","a5fbe6ef-ce96-ea11-b813-005056830319"
"0f9061ab-9497-ea11-b813-005056830319","MI","Michigan","a5fbe6ef-ce96-ea11-b813-005056830319"
"119061ab-9497-ea11-b813-005056830319","MN","Minnesota","a5fbe6ef-ce96-ea11-b813-005056830319"
"139061ab-9497-ea11-b813-005056830319","MS","Mississippi","a5fbe6ef-ce96-ea11-b813-005056830319"
"159061ab-9497-ea11-b813-005056830319","MO","Missouri","a5fbe6ef-ce96-ea11-b813-005056830319"
"179061ab-9497-ea11-b813-005056830319","PA","Pennsylvania","a5fbe6ef-ce96-ea11-b813-005056830319"
"199061ab-9497-ea11-b813-005056830319","RI","Rhode Island","a5fbe6ef-ce96-ea11-b813-005056830319"
"1b9061ab-9497-ea11-b813-005056830319","SC","South Carolina","a5fbe6ef-ce96-ea11-b813-005056830319"
"1d9061ab-9497-ea11-b813-005056830319","SD","South Dakota","a5fbe6ef-ce96-ea11-b813-005056830319"
"1f9061ab-9497-ea11-b813-005056830319","TN","Tennessee","a5fbe6ef-ce96-ea11-b813-005056830319"
"219061ab-9497-ea11-b813-005056830319","TX","Texas","a5fbe6ef-ce96-ea11-b813-005056830319"
"239061ab-9497-ea11-b813-005056830319","UT","Utah","a5fbe6ef-ce96-ea11-b813-005056830319"
"259061ab-9497-ea11-b813-005056830319","VT","Vermont","a5fbe6ef-ce96-ea11-b813-005056830319"
"279061ab-9497-ea11-b813-005056830319","VA","Virginia","a5fbe6ef-ce96-ea11-b813-005056830319"
"299061ab-9497-ea11-b813-005056830319","WA","Washington","a5fbe6ef-ce96-ea11-b813-005056830319"
"2b9061ab-9497-ea11-b813-005056830319","WV","West Virginia","a5fbe6ef-ce96-ea11-b813-005056830319"
"2d9061ab-9497-ea11-b813-005056830319","WI","Wisconsin","a5fbe6ef-ce96-ea11-b813-005056830319"
"2f9061ab-9497-ea11-b813-005056830319","WY","Wyoming","a5fbe6ef-ce96-ea11-b813-005056830319"
