"era_provinceterritoriesid","era_code","era_name","_era_relatedcountry_value"
"7a62519f-0884-ea11-b813-005056830319","NU","Nunavut","13539953-4195-ea11-b818-00505683fbf4"
"7c62519f-0884-ea11-b813-005056830319","QC","Quebec","13539953-4195-ea11-b818-00505683fbf4"
"7e62519f-0884-ea11-b813-005056830319","NT","Northwest Territories","13539953-4195-ea11-b818-00505683fbf4"
"8062519f-0884-ea11-b813-005056830319","ON","Ontario","13539953-4195-ea11-b818-00505683fbf4"
"8262519f-0884-ea11-b813-005056830319","BC","British Columbia","13539953-4195-ea11-b818-00505683fbf4"
"8462519f-0884-ea11-b813-005056830319","AB","Alberta","13539953-4195-ea11-b818-00505683fbf4"
"8662519f-0884-ea11-b813-005056830319","SK","Saskatchewan","13539953-4195-ea11-b818-00505683fbf4"
"8862519f-0884-ea11-b813-005056830319","MB","Manitoba","13539953-4195-ea11-b818-00505683fbf4"
"8a62519f-0884-ea11-b813-005056830319","YT","Yukon","13539953-4195-ea11-b818-00505683fbf4"
"8c62519f-0884-ea11-b813-005056830319","NL","Newfoundland and Labrador","13539953-4195-ea11-b818-00505683fbf4"
"8e62519f-0884-ea11-b813-005056830319","NB","New Brunswick","13539953-4195-ea11-b818-00505683fbf4"
"9062519f-0884-ea11-b813-005056830319","NS","Nova Scotia","13539953-4195-ea11-b818-00505683fbf4"
"9262519f-0884-ea11-b813-005056830319","PE","Prince Edward Island","13539953-4195-ea11-b818-00505683fbf4"
"cb8f61ab-9497-ea11-b813-005056830319","AL","Alabama","a5fbe6ef-ce96-ea11-b813-005056830319"
"cd8f61ab-9497-ea11-b813-005056830319","AK","Alaska","a5fbe6ef-ce96-ea11-b813-005056830319"
"cf8f61ab-9497-ea11-b813-005056830319","AZ","Arizona","a5fbe6ef-ce96-ea11-b813-005056830319"
"d18f61ab-9497-ea11-b813-005056830319","AR","Arkansas","a5fbe6ef-ce96-ea11-b813-005056830319"
"d38f61ab-9497-ea11-b813-005056830319","CA","California","a5fbe6ef-ce96-ea11-b813-005056830319"
"d58f61ab-9497-ea11-b813-005056830319","CO","Colorado","a5fbe6ef-ce96-ea11-b813-005056830319"
"d78f61ab-9497-ea11-b813-005056830319","CT","Connecticut","a5fbe6ef-ce96-ea11-b813-005056830319"
"d98f61ab-9497-ea11-b813-005056830319","DE","Delaware","a5fbe6ef-ce96-ea11-b813-005056830319"
"db8f61ab-9497-ea11-b813-005056830319","DC","District of Columbia","a5fbe6ef-ce96-ea11-b813-005056830319"
"dd8f61ab-9497-ea11-b813-005056830319","FL","Florida","a5fbe6ef-ce96-ea11-b813-005056830319"
"df8f61ab-9497-ea11-b813-005056830319","GA","Georgia","a5fbe6ef-ce96-ea11-b813-005056830319"
"e18f61ab-9497-ea11-b813-005056830319","HI","Hawaii","a5fbe6ef-ce96-ea11-b813-005056830319"
"e38f61ab-9497-ea11-b813-005056830319","ID","Idaho","a5fbe6ef-ce96-ea11-b813-005056830319"
"e58f61ab-9497-ea11-b813-005056830319","IL","Illinois","a5fbe6ef-ce96-ea11-b813-005056830319"
"e78f61ab-9497-ea11-b813-005056830319","IN","Indiana","a5fbe6ef-ce96-ea11-b813-005056830319"
"e98f61ab-9497-ea11-b813-005056830319","IA","Iowa","a5fbe6ef-ce96-ea11-b813-005056830319"
"eb8f61ab-9497-ea11-b813-005056830319","KS","Kansas","a5fbe6ef-ce96-ea11-b813-005056830319"
"ed8f61ab-9497-ea11-b813-005056830319","KY","Kentucky","a5fbe6ef-ce96-ea11-b813-005056830319"
"ef8f61ab-9497-ea11-b813-005056830319","LA","Louisiana","a5fbe6ef-ce96-ea11-b813-005056830319"
"f18f61ab-9497-ea11-b813-005056830319","ME","Maine","a5fbe6ef-ce96-ea11-b813-005056830319"
"f38f61ab-9497-ea11-b813-005056830319","MT","Montana","a5fbe6ef-ce96-ea11-b813-005056830319"
"f58f61ab-9497-ea11-b813-005056830319","NE","Nebraska","a5fbe6ef-ce96-ea11-b813-005056830319"
"f78f61ab-9497-ea11-b813-005056830319","NV","Nevada","a5fbe6ef-ce96-ea11-b813-005056830319"
"f98f61ab-9497-ea11-b813-005056830319","NH","New Hampshire","a5fbe6ef-ce96-ea11-b813-005056830319"
"fb8f61ab-9497-ea11-b813-005056830319","NJ","New Jersey","a5fbe6ef-ce96-ea11-b813-005056830319"
"fd8f61ab-9497-ea11-b813-005056830319","NM","New Mexico","a5fbe6ef-ce96-ea11-b813-005056830319"
"ff8f61ab-9497-ea11-b813-005056830319","NY","New York","a5fbe6ef-ce96-ea11-b813-005056830319"
"019061ab-9497-ea11-b813-005056830319","NC","North Carolina","a5fbe6ef-ce96-ea11-b813-005056830319"
"039061ab-9497-ea11-b813-005056830319","ND","North Dakota","a5fbe6ef-ce96-ea11-b813-005056830319"
"059061ab-9497-ea11-b813-005056830319","OH","Ohio","a5fbe6ef-ce96-ea11-b813-005056830319"
"079061ab-9497-ea11-b813-005056830319","OK","Oklahoma","a5fbe6ef-ce96-ea11-b813-005056830319"
