"era_countryid","era_countrycode","era_isocountrycode","era_name"
"cff9e6ef-ce96-ea11-b813-005056830319","AFG","4","Afghanistan"
"d1f9e6ef-ce96-ea11-b813-005056830319","ALA","248","Åland Islands"
"d3f9e6ef-ce96-ea11-b813-005056830319","ALB","8","Albania"
"d5f9e6ef-ce96-ea11-b813-005056830319","DZA","12","Algeria"
"d7f9e6ef-ce96-ea11-b813-005056830319","ASM","16","American Samoa"
"d9f9e6ef-ce96-ea11-b813-005056830319","AND","20","Andorra"
"dbf9e6ef-ce96-ea11-b813-005056830319","AGO","24","Angola"
"ddf9e6ef-ce96-ea11-b813-005056830319","AIA","660","Anguilla"
"dff9e6ef-ce96-ea11-b813-005056830319","ATA","10","Antarctica"
"e1f9e6ef-ce96-ea11-b813-005056830319","ATG","28","Antigua and Barbuda"
"e3f9e6ef-ce96-ea11-b813-005056830319","ARG","32","Argentina"
"e5f9e6ef-ce96-ea11-b813-005056830319","ARM","51","Armenia"
"e7f9e6ef-ce96-ea11-b813-005056830319","ABW","533","Aruba"
"e9f9e6ef-ce96-ea11-b813-005056830319","AUS","36","Australia"
"ebf9e6ef-ce96-ea11-b813-005056830319","AUT","40","Austria"
"edf9e6ef-ce96-ea11-b813-005056830319","AZE","31","Azerbaijan"
"eff9e6ef-ce96-ea11-b813-005056830319","BHS","44","Bahamas"
"f1f9e6ef-ce96-ea11-b813-005056830319","BHR","48","Bahrain"
"f3f9e6ef-ce96-ea11-b813-005056830319","BGD","50","Bangladesh"
"f5f9e6ef-ce96-ea11-b813-005056830319","BRB","52","Barbados"
"f7f9e6ef-ce96-ea11-b813-005056830319","BLR","112","Belarus"
"f9f9e6ef-ce96-ea11-b813-005056830319","BEL","56","Belgium"
"fbf9e6ef-ce96-ea11-b813-005056830319","BLZ","84","Belize"
"fdf9e6ef-ce96-ea11-b813-005056830319","BEN","204","Benin"
"fff9e6ef-ce96-ea11-b813-005056830319","BMU","60","Bermuda"
