"Code","Province","Active"
"ON","Ontario","True"
"QC","Quebec","True"
"NS","Nova Scotia","True"
"NB","New Brunswick","True"
"MB","Manitoba","True"
"BC","British Columbia","True"
"PE","Prince Edward Island","True"
"SK","Saskatchewan","True"
"AB","Alberta","True"
"NL","Newfoundland and Labrador","True"
"NT","Northwest Territories","True"
"YT","Yukon","True"
"NU","Nunavut","True"
